id;content;status;channel;sent_at;delivered_at;failed_at;delivery_attempts;error_message;created;created_by;updated;updated_by
1;grandpa um;DELIVERED;EMAIL;2025-06-14T16:43:22;2025-06-14T20:18:04;2025-06-14T20:28:40;2847;pish confide unzip;2025-06-14T19:41:12;unnecessarily victoriously;2025-06-15T08:48:29;for
2;owlishly violently;FAILED;EMAIL;2025-06-15T14:25:18;2025-06-15T02:30:13;2025-06-14T18:27:32;3714;ouch;2025-06-15T10:23:01;how veto log;2025-06-15T12:38:50;though
3;though;SENT;SMS;2025-06-15T07:55:59;2025-06-15T03:15:57;2025-06-15T10:30:05;27935;when;2025-06-15T06:38:16;inasmuch the meanwhile;2025-06-15T13:56:40;mobilise whereas
4;bidet apropos;SENT;SMS;2025-06-15T11:23:25;2025-06-15T09:57:02;2025-06-15T10:04:44;7834;deed though misfire;2025-06-15T01:34:17;thin;2025-06-14T22:57:55;fundraising athwart from
5;afore;FAILED;EMAIL;2025-06-15T11:53:21;2025-06-14T23:47:15;2025-06-15T11:31:07;25204;airman gee fat;2025-06-14T17:41:01;oof;2025-06-14T19:06:00;traffic
6;sheathe playfully;PENDING;WHATSAPP;2025-06-15T09:33:39;2025-06-14T23:47:15;2025-06-15T03:51:51;8762;gratefully off;2025-06-14T17:16:07;before vacantly against;2025-06-14T19:23:37;forceful
7;the;SENT;SMS;2025-06-15T07:59:22;2025-06-15T02:00:56;2025-06-14T21:52:20;9064;astride;2025-06-15T13:09:12;ick;2025-06-14T22:54:35;geez whoa impressionable
8;above as;DELIVERED;WHATSAPP;2025-06-14T19:37:28;2025-06-15T01:53:15;2025-06-15T07:51:02;16563;among;2025-06-14T21:34:31;concentration during;2025-06-14T16:35:21;hutch
9;royal while;SENT;SMS;2025-06-15T11:20:21;2025-06-15T11:27:37;2025-06-15T10:38:46;1930;failing;2025-06-15T09:43:38;lifestyle onto unlike;2025-06-14T15:58:52;over mortar
10;however versus trick;FAILED;EMAIL;2025-06-14T17:42:35;2025-06-15T08:56:54;2025-06-15T02:48:38;30750;woot honorable ew;2025-06-15T12:53:31;dutiful majority sneaky;2025-06-14T16:13:03;quicker
