id;motif;status;channels;note;sent_at;resolved_at;created;created_by;updated;updated_by;repeat_every;repeat_pattern
1;MOTIF2;FAILED;EMAIL;zen cheerfully at;2025-06-15T09:52:06;2025-06-15T02:34:39;2025-06-15T05:50:01;slather;2025-06-15T10:14:05;afore zowie bracelet;20104;MONTHLY
2;MOTIF2;SENT_ALL;SMS;wherever;2025-06-15T07:27:46;2025-06-14T21:47:12;2025-06-15T05:11:19;garrote;2025-06-14T22:28:16;ouch ugh;20506;YEARLY
3;MOTIF1;SENT_ALL;SMS;for sleepy ack;2025-06-14T16:45:17;2025-06-15T11:21:41;2025-06-15T05:25:24;tributary;2025-06-14T23:14:04;that since;8374;WEEKLY
4;MOTIF1;FAILED;WHATSAPP;waist rationalise;2025-06-15T01:18:28;2025-06-15T06:14:37;2025-06-15T07:08:36;arrogantly even amid;2025-06-14T20:52:40;if pish;10672;WEEKLY
5;MOTIF2;PENDING;SMS;delete celebrated colonialism;2025-06-14T17:55:14;2025-06-15T03:05:58;2025-06-14T13:05:52;fluctuate dearly rigidly;2025-06-14T23:23:02;nor mysterious behind;18130;MONTHLY
6;MOTIF3;SCHEDULED;WHATSAPP;um that;2025-06-15T08:28:30;2025-06-15T04:44:16;2025-06-15T08:26:29;availability;2025-06-14T19:31:29;finally;28658;DAILY
7;MOTIF1;SENT_PARTIAL;WHATSAPP;gah ad;2025-06-15T08:20:09;2025-06-14T14:04:15;2025-06-15T04:23:04;up;2025-06-14T18:01:10;whereas colorize vastly;32404;DAILY
8;MOTIF3;RESOLVED;SMS;besmirch duh hourly;2025-06-15T09:43:49;2025-06-15T05:11:13;2025-06-15T08:51:43;firsthand yowza;2025-06-14T23:26:10;everlasting litter pro;26157;MONTHLY
9;MOTIF3;FAILED;SMS;moist politely;2025-06-14T23:23:22;2025-06-15T11:44:16;2025-06-15T00:20:38;violin circulate silver;2025-06-15T11:40:08;powerless sick;4527;DAILY
10;MOTIF1;FAILED;SMS;physically yuck;2025-06-15T03:47:59;2025-06-14T15:50:50;2025-06-15T06:29:52;towards why far;2025-06-14T18:02:22;mainstream nor when;20426;MONTHLY
